sample,1997,,,,,,,,,,,,,,
id,1997,,,,,,,,,,,,,,
sex,1997,,,,,,,,,,,,,,
race,1997,,,,,,,,,,,,,,
bmonth,1997,,,,,,,,,,,,,,
byear,1997,,,,,,,,,,,,,,
attendPR,1997,,,,,,,,,,,,,,
relprefPR,1997,,,,,,,,,,,,,,
relraisedPR,1997,,,,,,,,,,,,,,
agemon,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ageyear,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
famrel,1997,1998,1999,2000,,,,,,,,,,,
attend,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
values,,,,,,2002,,,2005,,,2008,,,2011
todo,,,,,,2002,,,2005,,,2008,,,2011
obeyed,,,,,,2002,,,2005,,,2008,,,2011
pray,,,,,,2002,,,2005,,,2008,,,2011
decisions,,,,,,2002,,,2005,,,2008,,,2011
relpref,,,,,,,,,2005,,,2008,,,2011
bornagain,,,,,,,,,,,,2008,,,2011
faith,,,,,,,,,,,,2008,,,2011
calm,,,,2000,,2002,,2004,,2006,,2008,,2010,
blue,,,,2000,,2002,,2004,,2006,,2008,,2010,
happy,,,,2000,,2002,,2004,,2006,,2008,,2010,
depressed,,,,2000,,2002,,2004,,2006,,2008,,2010,
nervous,,,,2000,,2002,,2004,,2006,,2008,,2010,
tv,,,,,,2002,,,,,2007,2008,2009,2010,2011
computer,,,,,,2002,,,,,2007,2008,2009,2010,2011
internet,,,,,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
